Respondent ID,Did you participate in any of the Wellness Month activities or checkups?,"If no, please indicate the reason(s) for not participating: (Select all that apply)",Reason for not participating in wellness activities - Lack of time,Reason for not participating in wellness activities - Not interested,Reason for not participating in wellness activities - Scheduling conflicts,Reason for not participating in wellness activities - Other (please specify),Which wellness checkups or activities did you participate in? (Select all that apply),Wellness Activities participated in - General health checkup,Wellness Activities participated in - Dental checkup,Wellness Activities participated in - Eye examination,Wellness Activities participated in - Mental health counseling,Wellness Activities participated in - Nutritional counseling,Wellness Activities participated in - Other (please specify),How would you score the organization and communication of Wellness Month activities?,How satisfied were you with the following aspects of the wellness checkups and activities?,How satisfied were you with wellness activity - Professionalism of healthcare providers,How satisfied were you with wellness activity - Quality of the services provided,How satisfied were you with wellness activity - Variety of services offered,How satisfied were you with wellness activity - Convenience of service locations,How satisfied were you with wellness activity - Duration of appointments,How would you score your overall experience during Wellness Month?,Did you receive any useful advice or recommendations from the wellness checkups?,"Advice Implementation - If yes, did you implement any of the advice or recommendations?",Do you agree that participating in Wellness Month has had a positive impact on your health and wellbeing?,What additional wellness services or activities would you like to see offered in future Wellness Months?,Do you have any suggestions for improving the current Wellness Month initiative?,Any other comments or feedback about Wellness Month?,How long have you been with the organization?
118664452973.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,Extend the wellness to the nuclear family.,None for now,,More than 5 years
118664453566.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Poor,Disatisfied,Disatisfied,Disatisfied,Disatisfied,Disatisfied,Disatisfied,Poor,No,No,Disagree,Better communication when it is happening,Adequately communicate,Please communicate with team beforehand and adequately,Less than 1 year
118664446514.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Neutral,Neutral,Neutral,Disatisfied,Neutral,Neutral,Yes,Yes,Agree,IT SHOULD BE FREE OF CHARGE,NO,,More than 5 years
118664416908.0,No,,,,Scheduling conflicts,,,General health checkup,,,,,,Very poor,Disatisfied,Very Disatisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Poor,No,No,Disagree,send us professionals not trainees who don't understand their work but are for money.    the services are not standard,bring proffesionals,no,More than 5 years
118664424327.0,No,,Lack of time,,,,,General health checkup,Dental checkup,,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,NONE,NONE,NONE,More than 5 years
118664402940.0,No,,,,Scheduling conflicts,,,,,,Mental health counseling,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Men forums ,No,No,Less than 1 year
118664390121.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,
118664390424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118664316214.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Average,,,,,,,,,,,,,,
118664374766.0,No,,Lack of time,,,,None of the above,,,,,,,Good,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Good,Yes,Yes,Agree,Mental health awareness,frequent chcekups,,More than 5 years
118664373541.0,No,Not aware of the activities,,,,,,General health checkup,,,,,,Good,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,none,none,none,More than 5 years
118664368952.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Improve on the amount allocated for the checks. ,having separate days for both gender and improve on communication. you can also motivate staff by award. ,Timely test arrest complications and better management of the medical charges,More than 5 years
118664370903.0,Yes,,,,,,,General health checkup,,,,Nutritional counseling,,Average,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,More than 5 years
118664370637.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,ok,ok,ok,More than 5 years
118664371342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118664367381.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Good,Yes,Yes,Strongly agree,include anti glare specs on the cover,,,More than 5 years
118664369068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118664355987.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,none,none,ok,More than 5 years
118664360888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118664359942.0,Yes,,,,,,,General health checkup,,,,,,Poor,Neutral,Neutral,Disatisfied,Neutral,Disatisfied,Neutral,Neutral,Yes,No,Neutral,,,,
118664358141.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,gynecology services and nutrition,none,none,More than 5 years
118664356642.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,ok,ok,ok,More than 5 years
118664351557.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,VCT,Good,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Good,Yes,No,Agree,NONE,NONE,NONE,1 - 3 years
118664350739.0,No,,Lack of time,,Scheduling conflicts,,,,,,,,,,,,,,,,,,,,,,,
118664329921.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Average,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Good,Yes,No,Strongly agree,,,,
118664349845.0,Yes,,,,,,,General health checkup,,,,,,Average,,,,,,,,,,,,,,
118664343477.0,No,,,,,medical card was not active then,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Neutral,Satisfied,Disatisfied,Disatisfied,Good,Yes,Yes,Strongly agree,none ,employer to make sure all employees are accomodated and well communicated,none,More than 5 years
118664345346.0,No,Not aware of the activities,,,,,,,Dental checkup,,,,,Average,Neutral,Neutral,Neutral,Neutral,Disatisfied,Satisfied,Poor,Yes,No,Neutral,,,,
118664345235.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Neutral,Satisfied,Neutral,Satisfied,Neutral,Good,No,No,Agree,Cancer Screening,,,More than 5 years
118664342371.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,,,More than 5 years
118664342585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118664340869.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Average,Satisfied,Satisfied,Neutral,Neutral,Disatisfied,Disatisfied,Good,Yes,No,Agree,,,-usually rushed due to time limitations.  -some intrusive checks cannot be performed due to space and privacy limitations.,More than 5 years
118664339276.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,,Average,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Yes,Yes,Strongly agree,Not just on wellness months; there's need to sensitize staff on the annual wellness checks and also reward those who participate.,More robust communication. Personally I wasn't aware of the wellness month; my responses are based on the general awareness and participation in the annual checks.,Communicate better and create hype among all staff.,More than 5 years
118664336252.0,No,,,,,i had another one just before the internal one,,General health checkup,Dental checkup,,,,,Good,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,,,1 - 3 years
118664336177.0,Yes,,,,,,,General health checkup,,,,,,Good,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,include facilities and charges for wellness services,,,1 - 3 years
118664335749.0,Yes,,,,,yes,,General health checkup,,,,,,Average,Satisfied,Neutral,Neutral,Neutral,Disatisfied,Satisfied,Good,Yes,Yes,Agree,yes,yes,ok,More than 5 years
118664334495.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Disatisfied,Good,Yes,Yes,Strongly agree,Time duration for the checkup is normally small hence they rush up.Allocate more time or alternativelt give us option of visiting them  ,Keep up,,More than 5 years
118664331580.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,good with what is offered.,They are good.,thank you for what you are doing.,More than 5 years
118664330398.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Good,Yes,Yes,Agree,Cover all family members especially teenagers,,,More than 5 years
118664331586.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,,,Less than 1 year
118664330333.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Neutral,Neutral,Neutral,Disatisfied,Neutral,Good,Yes,Yes,Agree,Its allinclusive,,,More than 5 years
118664328275.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Agree,more options under blood work especially A1c,"Include blood donation for those willing, and give incentives",none,More than 5 years
118664321601.0,Yes,,,,,,,General health checkup,,,,,,Average,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Good,Yes,Yes,Strongly agree,Guide especially on time management (work life balance),Be done twice in a year,Make it be felt .organize for activities where people win prizes ,More than 5 years
118664329280.0,Yes,,,,,,,General health checkup,,Eye examination,,,PAP SMEAR,Good,Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,,,More than 5 years
118664326659.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Good,Neutral,Disatisfied,Neutral,Neutral,Disatisfied,Neutral,Good,No,Yes,Agree,,,,
118663727169.0,Yes,,,,,,,,,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Good,Yes,Yes,Agree,follow up the provider,hiv status confirmation cert,n,More than 5 years
118664329273.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,No,No,Agree,,,,More than 5 years
118664315449.0,No,,,,Scheduling conflicts,,,General health checkup,,,Mental health counseling,,,Average,Satisfied,Satisfied,Very Satisfied,Neutral,Very Satisfied,Very Disatisfied,Good,Yes,Yes,Agree,frequent calls,frequent calls for check up,calls calls calls to employees,More than 5 years
118664327476.0,Yes,,,,,,,,,Eye examination,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,
118664328758.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Neutral,Satisfied,Satisfied,Neutral,Disatisfied,Satisfied,Good,Yes,Yes,Agree,fitness collaborations where we are offered discounts in fitness centers across the country,fitness collaborations where we are offered discounts in fitness centers across the country,ok,More than 5 years
118664327687.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Yes,Yes,Neutral,"Partner with reputable hospitals and service providers, then let colleagues choose the time/place etc",As per 12 above,"For mental wellness, share the contacts regularly and allow colleagues to choose/change counsellors",More than 5 years
118664326290.0,No,Not aware of the activities,,,,,,,,,Mental health counseling,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Neutral,Good,Yes,Yes,Strongly agree,,,,1 - 3 years
118664323669.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Disatisfied,Satisfied,Good,Yes,Yes,Strongly agree,Increase wellness check centers   create more awareness amongst colleagues,Make the checkup rooms in the branches more concussive to enhance privacy of staff.,none,More than 5 years
118664326066.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,,,
118664320411.0,No,,,,Scheduling conflicts,,,,,,,,Lets move challenge,Average,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Good,Yes,No,Agree,More activities with time for them,The tests should be in hospital set ups and staff given time of to attend to it,All info on insurance package not given,More than 5 years
118664319767.0,Yes,,,,,,,,Dental checkup,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Mental health ,We can have the service providers visiting branches ,"Your concern for colleague wellness is truly exceptional. Thank you so much for giving us the opportunity to enjoy this, it's not taken for granted.",More than 5 years
118664322240.0,No,,,,,"I hadn't joined Absa, I'm new",,General health checkup,Dental checkup,Eye examination,,,,Very Good,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Good,Yes,Yes,Strongly agree,Strength training awareness and its benefits,,Keep up the good work!,Less than 1 year
118664318951.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Good,Yes,Yes,Strongly agree,NUTRITIONAL COUNSELLING,LET IT BE DONE OUTSIDE THE OFFICE ENVIRONS,SATISFIED,More than 5 years
118664321036.0,Yes,,,,,,,,Dental checkup,Eye examination,,,,Good,Very Disatisfied,Very Disatisfied,Very Disatisfied,Disatisfied,Satisfied,Neutral,Good,Yes,Yes,Strongly agree,Prostrate cancer testing,no,no,More than 5 years
118664317339.0,Yes,,,,,,,General health checkup,,,,,,Good,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,"Apart the BP, Cholesterol levels, metabolism etc. we need to have screening of other lifestyle diseases and also have health talks on the pertinent topics",holding the activity away from branches so as to accommodate other family members who may not be comfortable doing the checks at the branch.,NONE,More than 5 years
118664316560.0,Yes,,,,,,,General health checkup,,Eye examination,Mental health counseling,,,Very Good,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,Not at the moment,Not at the moment,SO FAR SO GOOD,More than 5 years
118664318699.0,Yes,,,,,.,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Good,Yes,Yes,Strongly agree,.,,,More than 5 years
118664316512.0,No,,,,,I had exhausted my card limit,,,,Eye examination,,,,Average,Satisfied,Satisfied,Disatisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,,,,
118664318477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118664316290.0,Yes,,,,,I PARTICIPATED,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,,Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,KEEP IT UP,NO,NONE,More than 5 years
118664315270.0,No,Not aware of the activities,,,,,,,,,,,,,,,,,,,,,,,,,,
118664314966.0,Yes,,,,,,,General health checkup,,,,,,Average,,,,,,,,,,,,,,
118664313693.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,None at the moment,None at the moment,No,1 - 3 years
118664312727.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118664310539.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,hype the activities,im disappointed that i wasn't aware of it and hope to participate fully in the next wellness month.,More than 5 years
118664310120.0,No,Not aware of the activities,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Average,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Yes,Yes,Agree,none so far,the services are okay,,1 - 3 years
118664313929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118664312594.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,counselling sessions,more information prior to,none,More than 5 years
118664310747.0,Yes,,,Not interested,,,,General health checkup,,Eye examination,,,,Good,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Good,Yes,Yes,Agree,none,none,none,1 - 3 years
118664311539.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,visting branches,none,none,More than 5 years
118664299061.0,No,,Lack of time,,,,,,,,,,,,,,,,,,,,,,,,,
118664310622.0,Yes,,Lack of time,,,,,General health checkup,,,,,,Good,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,More than 5 years
118664308920.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Neutral,Satisfied,Very Satisfied,Satisfied,Neutral,Neutral,Good,Yes,Yes,Agree,,,,1 - 3 years
118664309600.0,Yes,,,,,,,,,,Mental health counseling,,,Good,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118664307468.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,"If more checks could be added for free on the colleague part, it will be good. Sometimes we miss the checks to avoid limit utilization.",no,none,More than 5 years
118664308746.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Poor,Yes,Yes,Strongly disagree,mental health,no,good activity,More than 5 years
118664307369.0,No,,,,,NEW JOINER,None of the above,,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,
118664305911.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Mental health,none at the moment,,More than 5 years
118664302749.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,mental awareness,yes,good move and can be encouraged,More than 5 years
118664301433.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Neutral,Neutral,Disatisfied,Neutral,Neutral,Good,Yes,Yes,Strongly agree,none,none,none,Less than 1 year
118664292198.0,No,,,,Scheduling conflicts,,,General health checkup,Dental checkup,Eye examination,,,,Good,Neutral,Satisfied,Neutral,Neutral,Neutral,Disatisfied,Neutral,Yes,Yes,Agree,mental health,let the initiative deal with real issues like when a colleague needs help let them be given a listening ear and action taken.,no,More than 5 years
118664287313.0,Yes,,,,,,,General health checkup,,,,,,Good,Neutral,Very Satisfied,Very Satisfied,Disatisfied,Neutral,Satisfied,Good,Yes,Yes,Agree,"Full scope from Mental wellness, physical wellness and social/emotional wellness",Should be available in all major hospitals,,More than 5 years
118664282027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118664276912.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,"If Logistics allows, the checkup should be twice per year to allow us monitor changes after implementing what was suggested by service providers",Allow checkup to be twice per year.,Excellent initiative from human capital. I always wait eagerly for the wellness month to know my progress ,More than 5 years
118664173688.0,Yes,,,,,,,General health checkup,,,,Nutritional counseling,,Very Good,Very Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,Everything is ok,Most staff miss the opportunity for being busy esp in branches,,More than 5 years
118664066535.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Agree,none at the moment,none,no,More than 5 years
118664037945.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118663961451.0,No,Not aware of the activities,,,,,,,,,Mental health counseling,,,Good,,,,,,,,,,,,,,
118663885345.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Agree,Wellnes activities for the entire family,,,More than 5 years
118663919975.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Good,Yes,No,Agree,,,,
118663668658.0,No,,Lack of time,,Scheduling conflicts,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,No,No,Neutral,Saturday will be best placed due to lack of time,Conduct the activity on a Saturday,,3 - 5 years
118663898901.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Good,Yes,Yes,Agree,,,,More than 5 years
118663872100.0,No,,,,,I went for the women wellness checkup instead in a hospital,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Physical activities initiatives (coach) that will be expected to form habits post the month and become a way of life ,As above - the coach could create an app that is easy to use say for exercise or diets.  This can help create habits post the wellness month and better results in subsequent check ups,You are doing a good job.  Keep it up,More than 5 years
118663877938.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,Mental assessment routine checks.,,,More than 5 years
118663859908.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,More than 5 years
118663846541.0,Yes,,,,,,,General health checkup,,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,Well woman check ups,Yes. Let us have it scheduled at a Hospital for intensive tests.,None for now,More than 5 years
118663837857.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,cancer screening,,thank you people function,More than 5 years
118663828673.0,Yes,,,,,,,,,,Mental health counseling,,,Very Good,Satisfied,Very Satisfied,Satisfied,Neutral,Neutral,Satisfied,Good,Yes,Yes,Strongly agree,none,Having wellness become an always on activity,Make intentional discussions and all staff to understand the importance and need for wellness.,More than 5 years
118663823925.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,any other that the team would propose,,,More than 5 years
118663821868.0,No,,,,Scheduling conflicts,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Agree,I think we need to drum mental health more.,,,More than 5 years
118663822573.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Very Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Yes,Neutral,na,na,na,Less than 1 year
118663815342.0,No,,Lack of time,,,Was on leave,None of the above,,,,,,,Good,,,,,,,,,,,,,,
118663805010.0,No,Not aware of the activities,Lack of time,,Scheduling conflicts,,,,,,Mental health counseling,,,Good,Satisfied,Satisfied,Very Satisfied,Neutral,Neutral,Neutral,Neutral,,,,,,,
118663806143.0,No,,Lack of time,,Scheduling conflicts,,None of the above,,,,,,,Good,,,,,,,,,,,,,,
118663775606.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Neutral,Neutral,Satisfied,Very Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,,,More than 5 years
118663762547.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Good,,,,,,,,,,,,,,
118663754560.0,Yes,,,,,,,General health checkup,,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Yes,No,Agree,na,na,na,More than 5 years
118663748650.0,Yes,,,,,,,General health checkup,,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,"Cancer check ups - breast, prostrate, cervical  Blood clot check ups",,none,More than 5 years
118663737095.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,Having wellness champions for the months across the various locations.,,1 - 3 years
118663736074.0,No,,,,Scheduling conflicts,,,,,,Mental health counseling,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,No,No,Strongly agree,,no,no,More than 5 years
118663731871.0,Yes,,,,,,,General health checkup,Dental checkup,,,,,Good,Satisfied,Very Satisfied,Satisfied,Neutral,Neutral,Neutral,Good,Yes,Yes,Agree,Webinars to accomodate remote workers. ,,,More than 5 years
118663734716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118663730720.0,Yes,,,,,,,General health checkup,,Eye examination,,,,Average,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,preventive ...e.g we are sedentary at work bring back zumba,,,More than 5 years
118663733430.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Good,,,,,,,,,,,,,,
