Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your department from the drop down below,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Rank of wellness activities preference and participation (1 Least - 10 Highest) - ZUMBA,Rank of wellness activities preference and participation (1 Least - 10 Highest) - SWIMMING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - HIKING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - CYCLING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - RUNNING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - FOOTBALL,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEN’ S CAVE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - LADIES CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - BOOK CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - DIET/NUTRITION PROGRAMS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - STAIRCASE/STEP CHALLENGE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEDITATION/YOGA/MUSIC,Rank of wellness activities preference and participation (1 Least - 10 Highest) - QUIZ DAYS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Champion/Committee Interested joining - ZUMBA,Champion/Committee Interested joining - SWIMMING,Champion/Committee Interested joining - HIKING,Champion/Committee Interested joining - CYCLING,Champion/Committee Interested joining - RUNNING,Champion/Committee Interested joining - FOOTBALL,Champion/Committee Interested joining - MEN'S CAVE,Champion/Committee Interested joining - LADIES CLUB,Champion/Committee Interested joining - BOOK CLUB,Champion/Committee Interested joining - DIET/NUTRITION PROGRAMS,Champion/Committee Interested joining - STAIRCASE/STEP CHALLENGE,Champion/Committee Interested joining - MEDITATION/YOGA/MUSIC,Champion/Committee Interested joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental Wellness Issue would like addressed - Work/job-related stressors,Mental Wellness Issue would like addressed - Building Healthy families,Mental Wellness Issue would like addressed - Emotional Wellbeing,Mental Wellness Issue would like addressed - Financial Wellbeing,"Mental Wellness Issue would like addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issue would like addressed - Substance and Drug Dependence,Mental Wellness Issue would like addressed - Healthy Relationships,Mental Wellness Issue would like addressed - Unresolved Childhood Difficulties,Mental Wellness Issue would like addressed - Anxiety and Depression,Mental Wellness Issue would like addressed - Work-life balance,Mental Wellness Issue would like addressed - Lifestyle diseases management,Mental Wellness Issue would like addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issue would like addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Program Interested Attending - Mental Health Peer counsellor,Training Program Interested Attending - Baby minder trainings (training for your nannies),Training Program Interested Attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Program Interested Attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Program Interested Attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Club Interest - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Club Interest - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Club Interest - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & Wellbeing Club Interest - Other (please specify)
118710368828.0,I Agree (Continue with Survey),Male,31-35 years,HVAC [Heating Ventilation & Air Conditioning],10,,10,,7,,,,,,,,,,,GYM/AEROBICS,,SWIMMING,,,,FOOTBALL,,,,,,,,,Work/job-related stressors,Building Healthy families,,,,,,Unresolved Childhood Difficulties,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118710352830.0,I Agree (Continue with Survey),Male,31-35 years,Service Centre,8,,,,,,,,,,,,,,,GYM/AEROBICS,,,,,,,,,,,,,,Personal issues,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118710338306.0,I Agree (Continue with Survey),Female,31-35 years,Service Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710365502.0,I Agree (Continue with Survey),Male,36-40 years,"Imports, Exports & Bonded Warehouse",,,,,,4,,,,,,,4,,,,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,,,,,,,,,,Work-life balance,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710366263.0,I Agree (Continue with Survey),Male,31-35 years,Modern Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710362850.0,I Agree (Continue with Survey),Male,36-40 years,Service Centre,10,1,1,5,2,10,10,,,,,,,,,,,,,,,FOOTBALL,,,,,,,,,,,,,,,,,Anxiety and Depression,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710362187.0,I Agree (Continue with Survey),Female,26-30 years,HVAC [Heating Ventilation & Air Conditioning],8,8,4,8,1,1,1,1,5,10,10,4,10,10,,GYM/AEROBICS,ZUMBA,,HIKING,,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,QUIZ DAYS,,Work/job-related stressors,,Emotional Wellbeing,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710358994.0,I Agree (Continue with Survey),Male,31-35 years,HVAC [Heating Ventilation & Air Conditioning],5,2,8,,9,2,5,8,,5,8,5,5,4,,,,SWIMMING,HIKING,CYCLING,,,,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,,,,,,Anxiety and Depression,Work-life balance,,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710352950.0,I Agree (Continue with Survey),Male,26-30 years,Service Centre,1,,,,,,,,,,,,,,,GYM/AEROBICS,,,,,,,,,,,,,,,,,,Financial Wellbeing,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710355333.0,I Agree (Continue with Survey),Female,21-25years,HVAC [Heating Ventilation & Air Conditioning],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710349834.0,I Agree (Continue with Survey),Male,41-45 years,ICT & Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710349905.0,I Agree (Continue with Survey),Female,21-25years,ICT & Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710345140.0,I Agree (Continue with Survey),Female,41-45 years,Commercial,1,1,5,8,5,1,1,1,1,7,5,1,10,7,,,,,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710340299.0,I Agree (Continue with Survey),Female,31-35 years,Modern Trade,5,6,8,10,3,6,2,2,8,10,9,7,7,9,,,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,QUIZ DAYS,Personal issues,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710341988.0,I Agree (Continue with Survey),Female,31-35 years,Commercial,1,1,5,3,1,1,1,1,1,10,10,1,10,1,,,,,,,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710343027.0,I Agree (Continue with Survey),Male,31-35 years,Marketing,,,,,,,10,,,,,,,,,GYM/AEROBICS,ZUMBA,,HIKING,CYCLING,,FOOTBALL,,,,,,,,Personal issues,Work/job-related stressors,,,,,,,,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710340666.0,I Agree (Continue with Survey),Male,41-45 years,Corporate B2B & Projects,2,1,3,1,9,3,3,1,,5,5,10,7,8,,,,,,,,,,,,,STAIRCASE/STEP CHALLENGE,,QUIZ DAYS,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710340503.0,I Agree (Continue with Survey),Male,21-25years,Warehouse,1,4,5,4,,6,7,8,1,1,1,4,1,1,,,,,,CYCLING,,FOOTBALL,,,,,,,,,Work/job-related stressors,,,,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118710338129.0,I Agree (Continue with Survey),Male,50+ years,Service Centre,,,,,,,1,,,,,,,1,LOUGHING ,,,,,,,FOOTBALL,,,,,,,,,,,,Financial Wellbeing,,,,,,,,,NO,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",NO
118710337630.0,I Agree (Continue with Survey),Male,31-35 years,Service Centre,1,1,5,5,1,10,10,5,,1,1,1,10,5,,GYM/AEROBICS,,SWIMMING,,CYCLING,RUNNING,FOOTBALL,,,,,,,QUIZ DAYS,,,,,Financial Wellbeing,,,Healthy Relationships,,,,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710338993.0,I Agree (Continue with Survey),Female,26-30 years,Service Centre,5,8,7,4,2,2,2,2,5,6,8,5,8,8,,,ZUMBA,,,,,,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,,Building Healthy families,Emotional Wellbeing,,,,Healthy Relationships,,Anxiety and Depression,,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118710337833.0,I Agree (Continue with Survey),Male,31-35 years,Commercial,10,,4,9,5,4,10,2,1,4,9,1,1,1,,GYM/AEROBICS,,,,,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,Healthy Relationships,Unresolved Childhood Difficulties,,,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710340379.0,I Agree (Continue with Survey),Female,21-25years,HVAC [Heating Ventilation & Air Conditioning],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710337440.0,I Agree (Continue with Survey),Male,31-35 years,Retail,6,6,1,10,1,10,10,9,,5,6,3,9,6,,GYM/AEROBICS,,,,,,FOOTBALL,MEN'S CAVE,,BOOK CLUB,,,,,Personal issues,,,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,,,,,,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118710337047.0,I Agree (Continue with Survey),Male,26-30 years,Retail,5,4,7,5,6,5,,7,7,8,8,6,6,3,,GYM/AEROBICS,,SWIMMING,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118710334880.0,I Agree (Continue with Survey),Male,41-45 years,Retail,,,,,,6,7,,,5,,8,6,6,,GYM/AEROBICS,,,,CYCLING,,FOOTBALL,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,QUIZ DAYS,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710334858.0,I Agree (Continue with Survey),Male,36-40 years,Modern Trade,10,,6,,6,6,6,6,,,8,4,6,5,,GYM/AEROBICS,,,,,,,,,,,,,,,,,,Financial Wellbeing,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,,
118710335232.0,I Agree (Continue with Survey),Female,31-35 years,Modern Trade,3,,1,,,,,,,,3,4,,,,,ZUMBA,,,,,,,,,,,,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710333593.0,I Agree (Continue with Survey),Female,41-45 years,Finance,8,1,1,8,2,2,4,1,4,4,8,8,1,6,,,,,,,,,,,,,,,,,,,,Financial Wellbeing,,,Healthy Relationships,,,,,,dealing with gaming / gambling tendencies,,,Baby minder trainings (training for your nannies),,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710334257.0,I Agree (Continue with Survey),Female,46-50 years,HR & Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial Wellbeing,,,,,,,Lifestyle diseases management,,,,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710332892.0,I Agree (Continue with Survey),Female,26-30 years,Retail,10,6,10,10,10,10,3,6,2,3,7,3,5,4,,GYM/AEROBICS,,SWIMMING,HIKING,,,,,,BOOK CLUB,,,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710333196.0,I Agree (Continue with Survey),Female,36-40 years,HR & Admin,1,1,1,1,1,7,1,1,,2,4,7,6,4,,,,,,,,,MEN'S CAVE,,,,,,,Personal issues,,,,,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710332915.0,I Agree (Continue with Survey),Male,41-45 years,Internal Audit & Security,5,3,6,9,7,5,5,7,,4,9,10,7,10,,,,,HIKING,,,,MEN'S CAVE,,,,STAIRCASE/STEP CHALLENGE,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710332954.0,I Agree (Continue with Survey),Male,26-30 years,Commercial,10,10,7,6,1,6,5,6,,5,5,9,5,10,,GYM/AEROBICS,,,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710334420.0,I Agree (Continue with Survey),Male,31-35 years,HVAC [Heating Ventilation & Air Conditioning],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710332621.0,I Agree (Continue with Survey),Female,31-35 years,Retail,1,1,1,1,1,3,1,1,1,1,9,10,10,5,,,ZUMBA,,HIKING,,,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,QUIZ DAYS,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710316830.0,I Agree (Continue with Survey),Female,50+ years,HR & Admin,10,10,10,1,1,1,1,1,10,6,8,10,10,10,,GYM/AEROBICS,,,,,,,,,,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
