Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below.,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - ZUMBA,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - SWIMMING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - HIKING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - CYCLING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - RUNNING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - FOOTBALL,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - MEN’ S CAVE,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - LADIES CLUB,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - BOOK CLUB,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - DIET/NUTRITION PROGRAMS,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - MEDITATION/YOGA/MUSIC,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - QUIZ DAYS (TRIVIA DAYS),Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Wellness Activity Would Like To Join AS Champion or Committee Member - ZUMBA,Wellness Activity Would Like To Join AS Champion or Committee Member - SWIMMING,Wellness Activity Would Like To Join AS Champion or Committee Member - HIKING,Wellness Activity Would Like To Join AS Champion or Committee Member - CYCLING,Wellness Activity Would Like To Join AS Champion or Committee Member - RUNNING,Wellness Activity Would Like To Join AS Champion or Committee Member - FOOTBALL,Wellness Activity Would Like To Join AS Champion or Committee Member - MEN'S CAVE,Wellness Activity Would Like To Join AS Champion or Committee Member - LADIES CLUB,Wellness Activity Would Like To Join AS Champion or Committee Member - BOOK CLUB,Wellness Activity Would Like To Join AS Champion or Committee Member - DIET/NUTRITION PROGRAMS,Wellness Activity Would Like To Join AS Champion or Committee Member - STAIRCASE/STEP CHALLENGE,Wellness Activity Would Like To Join AS Champion or Committee Member - MEDITATION/YOGA/MUSIC,Wellness Activity Would Like To Join AS Champion or Committee Member - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental Wellness Issues Would Like Addressed - Work/job-related stressors,Mental Wellness Issues Would Like Addressed - Building Healthy families,Mental Wellness Issues Would Like Addressed - Emotional Wellbeing,Mental Wellness Issues Would Like Addressed - Financial Wellbeing,"Mental Wellness Issues Would Like Addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Healthy Relationships,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Work-life balance,Mental Wellness Issues Would Like Addressed - Lifestyle diseases management,Mental Wellness Issues Would Like Addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issues Would Like Addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Programs Interested Attending - Mental Health Peer counsellor,Training Programs Interested Attending - Baby minder trainings (training for your nannies),Training Programs Interested Attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Programs Interested Attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Programs Interested Attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Clubs Interested Joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Clubs Interested Joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Clubs Interested Joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & Wellbeing Clubs Interested Joining - Other (please specify)
118795765991.0,I Agree (Continue with Survey),Male,31-35 years,Customer Relations,10,3,10,10,5,5,10,10,1,10,10,10,10,10,,,,,HIKING,,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795760665.0,I Agree (Continue with Survey),Female,21-25years,Customer Experience,8,5,10,2,9,5,1,1,1,1,5,6,10,7,,GYM/AEROBICS,,SWIMMING,,CYCLING,,,,,,,,,QUIZ DAYS,Personal issues,Work/job-related stressors,,,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795722243.0,I Agree (Continue with Survey),Male,21-25years,Customer Experience,1,3,1,10,1,5,5,5,1,2,2,4,1,10,"Play board  games eg ludo, chess",,ZUMBA,,HIKING,,RUNNING,,,,,,,,QUIZ DAYS,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795683572.0,I Agree (Continue with Survey),Male,21-25years,Technology,10,1,10,9,9,9,1,10,1,1,1,1,1,9,,GYM/AEROBICS,,SWIMMING,,,,,,,,,,,QUIZ DAYS,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795679326.0,I Agree (Continue with Survey),Male,31-35 years,Technology,7,1,2,5,10,10,10,6,1,1,6,8,1,8,,,,,HIKING,CYCLING,RUNNING,FOOTBALL,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795680749.0,I Agree (Continue with Survey),Female,21-25years,Customer Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118795672539.0,I Agree (Continue with Survey),Male,31-35 years,Human Resources,1,3,1,6,9,10,10,8,1,5,5,7,3,5,"Please include marathons, Volleyball, Tennis",,,,,,RUNNING,FOOTBALL,,,,,,,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,Substance and Drug Dependence,,,,Work-life balance,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118795668227.0,I Agree (Continue with Survey),Female,26-30 years,Technology,10,7,1,1,1,7,1,1,1,1,8,1,5,1,,GYM/AEROBICS,,,,,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,,,Emotional Wellbeing,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795653866.0,I Agree (Continue with Survey),Female,26-30 years,Operations,9,5,7,10,10,4,1,1,8,7,9,6,10,7,,,,,HIKING,,,,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,Building Healthy families,,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795658072.0,I Agree (Continue with Survey),Female,21-25years,Operations,5,5,2,5,7,5,1,1,7,8,6,6,6,6,,,,,,CYCLING,,,,,BOOK CLUB,,,,QUIZ DAYS,,,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118795658465.0,I Agree (Continue with Survey),Male,41-45 years,Business Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118795651148.0,I Agree (Continue with Survey),Male,21-25years,Technology,7,7,7,10,10,10,10,8,1,7,9,9,9,9,,GYM/AEROBICS,ZUMBA,SWIMMING,HIKING,CYCLING,RUNNING,FOOTBALL,MEN'S CAVE,,BOOK CLUB,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,QUIZ DAYS,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795654166.0,I Agree (Continue with Survey),Male,26-30 years,Hospital Operations,9,1,1,5,1,10,1,1,1,1,7,5,7,1,,,,SWIMMING,HIKING,,RUNNING,,,,,,,,,,,,,Financial Wellbeing,,,,Unresolved Childhood Difficulties,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118795652384.0,I Agree (Continue with Survey),Female,26-30 years,Technology,10,10,2,1,1,1,1,1,1,4,7,5,3,9,,GYM/AEROBICS,ZUMBA,,,CYCLING,,,,,,DIET/NUTRITION PROGRAMS,,,QUIZ DAYS,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795605982.0,I Agree (Continue with Survey),Male,36-40 years,Technology,10,5,3,8,9,7,6,5,,7,5,7,5,5,,GYM/AEROBICS,,,HIKING,,,,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,,,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795604786.0,I Agree (Continue with Survey),Male,26-30 years,Technology,,,10,,,,10,,,,,,,,,,,SWIMMING,,,,,,,,,,,,,,,,,,,,,Anxiety and Depression,Work-life balance,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118795633867.0,I Agree (Continue with Survey),Male,31-35 years,Customer Relations,10,10,1,1,1,10,5,1,1,1,1,10,10,1,,GYM/AEROBICS,,,,,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118795631077.0,I Agree (Continue with Survey),Female,36-40 years,Customer Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118795616183.0,I Agree (Continue with Survey),Female,26-30 years,Customer Experience,10,8,4,3,7,1,1,5,6,10,10,1,10,10,,,ZUMBA,,,,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,QUIZ DAYS,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795619663.0,I Agree (Continue with Survey),Male,36-40 years,Technology,10,,5,8,8,10,10,9,,10,10,2,3,2,,,,,HIKING,,,,,,BOOK CLUB,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795619163.0,I Agree (Continue with Survey),Female,36-40 years,Technology,3,3,3,,5,,,,,,4,5,,,,GYM/AEROBICS,ZUMBA,SWIMMING,,,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,,Building Healthy families,Emotional Wellbeing,,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795617774.0,I Agree (Continue with Survey),Male,36-40 years,Customer Enrollment,9,10,1,8,7,6,10,9,2,7,8,5,4,5,,GYM/AEROBICS,ZUMBA,,HIKING,,,FOOTBALL,MEN'S CAVE,,BOOK CLUB,,,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118795616832.0,I Agree (Continue with Survey),Female,26-30 years,Customer Experience,,,,,,,,,,,,,8,10,,,ZUMBA,,,,,,,,,,,,QUIZ DAYS,,Work/job-related stressors,Building Healthy families,,,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118795606307.0,I Agree (Continue with Survey),Male,26-30 years,Operations,10,1,5,1,5,5,3,10,,10,10,,5,10,,GYM/AEROBICS,,SWIMMING,,CYCLING,,FOOTBALL,MEN'S CAVE,,BOOK CLUB,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795613254.0,I Agree (Continue with Survey),Female,41-45 years,Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118795610938.0,I Agree (Continue with Survey),Male,31-35 years,Customer Experience,6,5,7,10,10,5,8,4,4,4,6,10,7,5,Charity walks,,,,HIKING,CYCLING,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795610095.0,I Agree (Continue with Survey),Male,31-35 years,Customer Experience,8,5,10,9,9,6,8,3,1,2,3,4,5,3,,,,,HIKING,,,,,,,,,,,,,,,Financial Wellbeing,,,,,,,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118795606029.0,I Agree (Continue with Survey),Male,26-30 years,Business Development,1,,,7,5,7,9,2,1,5,7,8,10,10,,,,,,,,FOOTBALL,,,BOOK CLUB,,,MEDITATION/YOGA/MUSIC,QUIZ DAYS,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118795606239.0,I Agree (Continue with Survey),Male,41-45 years,Technology,2,1,1,1,1,1,2,1,1,1,2,2,2,5,"Board games, scrabble, checkers",,,,HIKING,,,,,,,,,,QUIZ DAYS,,Work/job-related stressors,,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,,
118795604777.0,I Agree (Continue with Survey),Male,26-30 years,Technology,1,1,1,1,1,1,1,1,,1,1,1,1,6,,,,,,,,,MEN'S CAVE,,BOOK CLUB,,,MEDITATION/YOGA/MUSIC,QUIZ DAYS,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,,,,Mental Health Peer counsellor,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118795604893.0,I Agree (Continue with Survey),Male,31-35 years,Marketing,7,1,2,9,10,7,10,8,,5,5,3,4,4,,,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795606124.0,I Agree (Continue with Survey),Male,31-35 years,Hospital Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118795604729.0,I Agree (Continue with Survey),Male,26-30 years,Technology,1,1,1,9,10,1,6,1,1,2,2,1,1,6,Walking 10,,,,HIKING,CYCLING,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795604870.0,I Agree (Continue with Survey),Female,41-45 years,Human Resources,2,2,2,2,2,2,6,1,1,1,1,2,1,1,,,ZUMBA,SWIMMING,,CYCLING,,FOOTBALL,,,BOOK CLUB,,STAIRCASE/STEP CHALLENGE,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,Unresolved Childhood Difficulties,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795604758.0,I Agree (Continue with Survey),Female,21-25years,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118794784164.0,I Agree (Continue with Survey),Female,21-25years,Human Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
